ENGLISH,HINDI,Split sentences,Number of sentences,
"Born in Kasganj, Uttar Pradesh, Gaurav, a brilliant student, quickly developed an interest in drawing, sketching and mehendi designing. When she saw his arts teacher encouraging him, his mother allowed Gaurav to pursue a three-month course on mehendi design making. Although a lot of men work as mehendi artists, Gaurav’s family members ridiculed him for not doing something ‘more masculine’. However, with the help of YouTube videos, Gaurav made them aware of how men too practise the art, ultimately changing their minds. Addressing how society’s perceptions about career aspirations as gendered, Gaurav says that no one should be humiliated for the kind of work they choose to do and appeals to all to find value in people without associating preconceived notions to their identities. Through skills he learned at a program run by the Breakthrough Trust in his school, Gaurav felt strong enough to stand up to his elder brothers, who bullied him for his choice. He recollects how he negotiated with his mother to help him take a stand against his brothers, who’d also often emasculate him on the basis of his decision to learn and practice mehendi design application. Gaurav had reasoned with his mother, so she could support him in taking a stand against his brothers’ taunts. Today, Gaurav is an established mehendi artist who is also shifting gender norms in his community. As for Gaurav’s brothers, he says that they are more supportive now than ever. ","""उत्तर प्रदेश के कासगंज का गौरव एक होनहार छात्र था, जिसने जल्दी ही ड्राइंग, स्केचिंग और मेहंदी डिजाइनिंग में रुचि बना ली थी। जब उसकी टीचर ने उसे प्रोत्साहित किया, तो उसकी मां ने गौरव को मेहंदी डिजाइन बनाने के तीन महीने के कोर्स में दाखिला लेने की अनुमति दे दी। हालांकि बहुत से पुरुष मेहंदी कलाकार के रूप में काम करते हैं, लेकिन गौरव के परिवार के सदस्यों ने उसका मज़ाक उड़ाया कि वह लड़कियों का काम क्यों कर रहा है। यूट्यूब वीडियो की मदद से, गौरव ने उन्हें यह समझाया कि पुरुष भी इस कला को अपनाते हैं, और कुछ महीनों में उनका नज़रिया बदल गया। नौकरी से जुड़ी समाज की धारणाओं पर गौरव का कहना है कि किसी को भी उनके चुने हुए काम के लिए अपमानित नहीं किया जाना चाहिए। अपने स्कूल में ब्रेकथ्रू ट्रस्ट द्वारा चलाए जा रहे एक कार्यक्रम के दौरान सीखे गए कौशल की मदद से, गौरव ने अपने बड़े भाइयों के सामने खड़े होने का आत्मविश्वास पाया, जो उसके काम को लेकर उसे परेशान करते थे। वह याद करता हैं कि कैसे उसने अपनी मां के साथ बात की ताकि वह उसे भाइयों के खिलाफ़ खड़े होने में समर्थन दे सकें, जो अक्सर उसके मेहंदी डिजाइन सीखने के फैसले के कारण उनकी मर्दानगी पर सवाल उठाते थे। आज, गौरव एक प्रतिष्ठित मेहंदी कलाकार हैं जो अपने समाज के नज़रिए को भी बदल रहा हैं। गौरव के भाइयों के बारे में, उसका कहना है कि वे अब पहले से कहीं ज़्यादा सहायक हैं।","उत्तर प्रदेश के कासगंज का गौरव एक होनहार छात्र था, जिसने जल्दी ही ड्राइंग, स्केचिंग और मेहंदी डिजाइनिंग में रुचि बना ली थी। ",9,
,,"जब उसकी टीचर ने उसे प्रोत्साहित किया, तो उसकी मां ने गौरव को मेहंदी डिजाइन बनाने के तीन महीने के कोर्स में दाखिला लेने की अनुमति दे दी। ",,
,,"हालांकि बहुत से पुरुष मेहंदी कलाकार के रूप में काम करते हैं, लेकिन गौरव के परिवार के सदस्यों ने उसका मज़ाक उड़ाया कि वह लड़कियों का काम क्यों कर रहा है। ",,
,,"यूट्यूब वीडियो की मदद से, गौरव ने उन्हें यह समझाया कि पुरुष भी इस कला को अपनाते हैं, और कुछ महीनों में उनका नज़रिया बदल गया।",,
,,नौकरी से जुड़ी समाज की धारणाओं पर गौरव का कहना है कि किसी को भी उनके चुने हुए काम के लिए अपमानित नहीं किया जाना चाहिए। ,,
,,"अपने स्कूल में ब्रेकथ्रू ट्रस्ट द्वारा चलाए जा रहे एक कार्यक्रम के दौरान सीखे गए कौशल की मदद से, गौरव ने अपने बड़े भाइयों के सामने खड़े होने का आत्मविश्वास पाया, जो उसके काम को लेकर उसे परेशान करते थे। ",,
,,"वह याद करता हैं कि कैसे उसने अपनी मां के साथ बात की ताकि वह उसे भाइयों के खिलाफ़ खड़े होने में समर्थन दे सकें, जो अक्सर उसके मेहंदी डिजाइन सीखने के फैसले के कारण उनकी मर्दानगी पर सवाल उठाते थे। ",,
,,"आज, गौरव एक प्रतिष्ठित मेहंदी कलाकार हैं जो अपने समाज के नज़रिए को भी बदल रहा हैं।",,
,,"गौरव के भाइयों के बारे में, उसका कहना है कि वे अब पहले से कहीं ज़्यादा सहायक हैं।",,
,,,,
,,,,
Reflections,कुछ विचार,कुछ विचार,,
"A world where there is no violence or discrimination based on gender, what would that world be like? I don’t know because I’ve never seen such a world, but it will be very special. A world where a girl doesn’t have to look at her watch or measure her clothes before stepping out of her house. While walking on the street, she won’t have to look over her shoulder every couple of minutes. In the darkness of night or the brightness of day, no woman will have to be afraid. And a girl won’t have to fight her own people just for her happiness. That world will be very special because it will be free.","एक ऐसी दुनिया जहाँ लिंग के आधार पर हिंसा न हो, भेदभाव न हो, कैसी होगी वो दुनिया? पता नहीं क्योंकि कभी देखी नहीं वो दुनिया, पर बहुत खास होगी। एक ऐसी दुनिया जहाँ घर से निकलते वक्त किसी लड़की को अपनी घड़ी या कपड़ों को ना नापना पड़े। सड़क पर चलते वक्त दो-दो मिनट बाद अपने कंधे के पीछे ना ताकना पड़े। रात के अंधेरे में और दिन के उजाले में किसी औरत को ना डरना पड़े। और अपनी ही खुशी के लिए किसी लड़की को अपनों से ना लड़ना पड़े। बहुत खास होगी वो दुनिया क्योंकि आज़ाद होगी वो दुनिया।","एक ऐसी दुनिया जहाँ लिंग के आधार पर हिंसा न हो, भेदभाव न हो, कैसी होगी वो दुनिया?",7,
,,"पता नहीं क्योंकि कभी देखी नहीं वो दुनिया, पर बहुत खास होगी।",,
,,एक ऐसी दुनिया जहाँ घर से निकलते वक्त किसी लड़की को अपनी घड़ी या कपड़ों को ना नापना पड़े। ,,
,,सड़क पर चलते वक्त दो-दो मिनट बाद अपने कंधे के पीछे ना ताकना पड़े।,,
,,रात के अंधेरे में और दिन के उजाले में किसी औरत को ना डरना पड़े। ,,
,,और अपनी ही खुशी के लिए किसी लड़की को अपनों से ना लड़ना पड़े।,,
,,बहुत खास होगी वो दुनिया क्योंकि आज़ाद होगी वो दुनिया।,,
Reflections,कुछ विचार,कुछ विचार,,
"a world free of gender based violence and discrimination would be a world free of fear. a world where i could take a stroll under a starlit sky alone. where i would not frown or hurry up my steps to look purposeful, where i actually want to slow down and loiter. a world where i would not constantly have to look over my shoulder. it would be a world where i could just be and breathe freely ","एक ऐसी दुनिया, जो लिंग आधारित हिंसा और भेदभाव से मुक्त हो, वह एक डर से मुक्त दुनिया होगी। एक ऐसी दुनिया जहाँ मैं अकेले तारों के नीचे सैर कर सकूँ। जहाँ मुझे गंभीर दिखने के लिए अपना चेहरा ना सिकोड़ना पड़े या अपने कदमों को तेज़ करने की ज़रूरत ना हो, बल्कि जहाँ मैं अगर मन चाहे तो धीमे चल पाऊँ, यूँ ही सैर कर पाऊँ। एक ऐसी दुनिया जहाँ मुझे लगातार अपने कंधे के पीछे देखने की ज़रूरत ना हो। यह एक ऐसी दुनिया होगी जहाँ मैं बस जी सकूँ और आज़ादी से साँस ले सकूँ।","एक ऐसी दुनिया, जो लिंग आधारित हिंसा और भेदभाव से मुक्त हो, वह एक डर से मुक्त दुनिया होगी।",6,
,,एक ऐसी दुनिया जहाँ मैं अकेले तारों के नीचे सैर कर सकूँ।,,
,,जहाँ मुझे गंभीर दिखने के लिए अपना चेहरा ना सिकोड़ना पड़े या अपने कदमों को तेज़ करने की ज़रूरत ना हो।,,
,,"बल्कि जहाँ मैं अगर मन चाहे तो धीमे चल पाऊँ, यूँ ही सैर कर पाऊँ।",,
,,एक ऐसी दुनिया जहाँ मुझे लगातार अपने कंधे के पीछे देखने की ज़रूरत ना हो।,,
,,यह एक ऐसी दुनिया होगी जहाँ मैं बस जी सकूँ और आज़ादी से साँस ले सकूँ।,,
Reflections,कुछ विचार,कुछ विचार,,
"I am at the sunset of my life, but I hope my daughters after me can experience a world without gender based violence and discrimination. i wish they can walk down the street not followed by lustful stares and goring gazes, i wish they can laugh with abandon, i wish they can express freely, i wish their world gives itself the chance to experience the beauty that women can bring to society","मैं अपने जीवन के अंतिम पड़ाव पर हूँ, पर मुझे उम्मीद है कि मेरी बेटियाँ मेरे बाद एक ऐसी दुनिया का अनुभव कर सकेंगी जहाँ लिंग आधारित हिंसा और भेदभाव न हो। मैं चाहती हूँ कि वे पीछा करती हुई और घूरती निगाहों के बिना सड़कों पर चल सकें। मैं चाहती हूँ कि वे खुलकर हँस सकें, मैं चाहती हूँ कि वे अपनी बातों को बेझिझक व्यक्त कर सकें। मैं चाहती हूँ कि उनकी दुनिया महिलाओं को मौका देगी, यह दिखाने के लिए कि वे भी गृहस्थी के बाहर मर्दों के साथ कंधा मिलाकर समाज को और खूबसूरत बना सकती हैं, और उसे आगे ले जा सकती हैं।","मैं अपने जीवन के अंतिम पड़ाव पर हूँ, पर मुझे उम्मीद है कि मेरी बेटियाँ मेरे बाद एक ऐसी दुनिया का अनुभव कर सकेंगी जहाँ लिंग आधारित हिंसा और भेदभाव न हो।",6,
,,मैं चाहती हूँ कि वे पीछा करती हुई और घूरती निगाहों के बिना सड़कों पर चल सकें।,,
,,मैं चाहती हूँ कि वे खुलकर हँस सकें।,,
,,मैं चाहती हूँ कि वे अपनी बातों को बेझिझक व्यक्त कर सकें।,,
,,मैं चाहती हूँ कि उनकी दुनिया महिलाओं को मौका देगी।,,
,,"यह दिखाने के लिए कि वे भी गृहस्थी के बाहर मर्दों के साथ कंधा मिलाकर समाज को और खूबसूरत बना सकती हैं, और उसे आगे ले जा सकती हैं।",,
Shanti and Mohan's story,शांति और मोहन की कहानी,शांति और मोहन की कहानी,,
"Shanti and Mohan lived in a small village. Mohan was a teacher at the village school, and Shanti managed the household. Mohan spent his entire day teaching children at school, while Shanti took care of all the household chores. Both were doing their best to manage their family, but Mohan's earnings barely covered the household expenses.

Shanti was educated and intelligent. She had completed her graduate studies, but after marriage, she gave up working due to societal pressure. One day, she said to Mohan, ""Mohan, can I also work? My education is going to waste, and we're struggling to meet our needs properly.""

Mohan was reminded of societal beliefs – ""A wife should stay at home,"" ""A woman's duty is to manage the household,"" and such thoughts began to fill his mind. But he listened carefully to Shanti and then said, ""You’re right, Shanti. If you want to work, I will support you. We shouldn't worry about society's opinion.""

Shanti applied for a job at a local bank and soon got hired. She worked diligently at the bank, and her salary greatly helped with household expenses. Now, both Mohan and Shanti were running the family more efficiently. Their children's education, minor household expenses, and even their savings began to increase. A few months later, Mohan noticed that Shanti was just as excellent in her job as any of her male colleagues. Mohan started helping Shanti with the household chores. He realized that since he wasn't constantly under financial pressure, he was able to spend more time with his children.

Shanti's job not only improved their financial situation, but it also set an example for society, showing that women are just as capable and competent as men. Many people in the village, who initially questioned Shanti and Mohan's decision, now praised them. Inspired by Shanti, many women also started working. Slowly, the mindset in the village began to change, and people realized that if wives also work, not only does the family’s financial situation improve, but the respect and contribution of women in society also increase.
","शांति और मोहन एक छोटे से गाँव में रहते थे। मोहन गाँव के स्कूल में शिक्षक था, और शांति घर संभालती थी। मोहन दिन भर स्कूल में बच्चों को पढ़ाता और शांति घर के सारे कामकाज निपटाती थी। दोनों मिलकर अपने परिवार को चलाने की पूरी कोशिश कर रहे थे, लेकिन मोहन की कमाई से घर की जरूरतें मुश्किल से पूरी हो पातीं।

शांति पढ़ी-लिखी और समझदार थी। उसने ग्रेजुएट की पढ़ाई की थी, पर शादी के बाद समाज के दबाव में आकर उसने काम करना छोड़ दिया था। एक दिन, उसने मोहन से कहा, ""मोहन, क्या मैं भी कोई काम कर सकती हूँ? मेरी पढ़ाई का कोई फायदा नहीं हो रहा, और साथ ही हम अपनी जरूरतों को भी ठीक से पूरा नहीं कर पा रहे हैं।""

मोहन को समाज की बातें याद आ गईं – ""पत्नी को घर पर रहना चाहिए,"" ""महिलाओं का काम घर संभालना है"" जैसी बातें उसके मन में घूमने लगीं। लेकिन उसने शांति की बातों को ध्यान से सुना और फिर कहा, ""तुम्हारी बात सही है, शांति। अगर तुम काम करना चाहती हो, तो मैं तुम्हारा साथ दूँगा। हमें समाज की चिंता नहीं करनी चाहिए।""

शांति ने एक स्थानीय बैंक में नौकरी के लिए आवेदन किया और जल्द ही उसे नौकरी मिल गई। शांति ने बैंक में मेहनत से काम किया, और उसकी तनख्वाह ने घर के खर्चों में बहुत मदद की। अब मोहन और शांति दोनों मिलकर परिवार को बेहतर ढंग से चला रहे थे। बच्चों की पढ़ाई, घर के छोटे-मोटे खर्चे, और यहाँ तक कि उनकी बचत भी बढ़ने लगी। कुछ महीनों बाद, मोहन ने देखा कि शांति अपने काम में उतनी ही उत्कृष्ट थी जितने कि उसके पुरुष सहकर्मी थे । मोहन ने शांति के साथ घर के कामों में हाथ बंटाना शुरू कर दिया। उसने महसूस किया कि क्योंकि वह लगातार आर्थिक दबाव में नहीं था, उसे अपने बच्चों के साथ समय बिताने का मौका भी ज्यादा मिलने लगा। 

शांति की नौकरी से न केवल आर्थिक स्थिति में सुधार हुआ, बल्कि उसने समाज में भी एक उदाहरण पेश किया कि महिलाएं भी पुरुषों की तरह काबिल और सक्षम होती हैं। गाँव के कई लोग जो पहले शांति और मोहन के फैसले को लेकर सवाल उठाते थे, अब उनकी तारीफ करने लगे। कई महिलाओं ने भी शांति से प्रेरणा लेकर काम करना शुरू किया। गाँव में धीरे-धीरे यह सोच फैलने लगी कि अगर पत्नियाँ भी कामकाजी हों, तो न केवल परिवार की आर्थिक स्थिति सुधरती है, बल्कि समाज में महिलाओं का सम्मान और योगदान भी बढ़ता है।
",शांति और मोहन एक छोटे से गाँव में रहते थे।,20,
,,"मोहन गाँव के स्कूल में शिक्षक था, और शांति घर संभालती थी।",,
,,मोहन दिन भर स्कूल में बच्चों को पढ़ाता और शांति घर के सारे कामकाज निपटाती थी।,,
,,"दोनों मिलकर अपने परिवार को चलाने की पूरी कोशिश कर रहे थे, लेकिन मोहन की कमाई से घर की जरूरतें मुश्किल से पूरी हो पातीं।",,
,,शांति पढ़ी-लिखी और समझदार थी।,,
,,"उसने ग्रेजुएट की पढ़ाई की थी, पर शादी के बाद समाज के दबाव में आकर उसने काम करना छोड़ दिया था।",,
,,"एक दिन, उसने मोहन से कहा, ""मोहन, क्या मैं भी कोई काम कर सकती हूँ? मेरी पढ़ाई का कोई फायदा नहीं हो रहा, और साथ ही हम अपनी जरूरतों को भी ठीक से पूरा नहीं कर पा रहे हैं।""",,
,,"मोहन को समाज की बातें याद आ गईं – ""पत्नी को घर पर रहना चाहिए,"" ""महिलाओं का काम घर संभालना है"" जैसी बातें उसके मन में घूमने लगीं।",,
,,"लेकिन उसने शांति की बातों को ध्यान से सुना और फिर कहा, ""तुम्हारी बात सही है, शांति। अगर तुम काम करना चाहती हो, तो मैं तुम्हारा साथ दूँगा। हमें समाज की चिंता नहीं करनी चाहिए।""",,
,,शांति ने एक स्थानीय बैंक में नौकरी के लिए आवेदन किया और जल्द ही उसे नौकरी मिल गई।,,
,,"शांति ने बैंक में मेहनत से काम किया, और उसकी तनख्वाह ने घर के खर्चों में बहुत मदद की।",,
,,अब मोहन और शांति दोनों मिलकर परिवार को बेहतर ढंग से चला रहे थे।,,
,,"बच्चों की पढ़ाई, घर के छोटे-मोटे खर्चे, और यहाँ तक कि उनकी बचत भी बढ़ने लगी।",,
,,"कुछ महीनों बाद, मोहन ने देखा कि शांति अपने काम में उतनी ही उत्कृष्ट थी जितने कि उसके पुरुष सहकर्मी थे।",,
,,मोहन ने शांति के साथ घर के कामों में हाथ बंटाना शुरू कर दिया।,,
,,"उसने महसूस किया कि क्योंकि वह लगातार आर्थिक दबाव में नहीं था, उसे अपने बच्चों के साथ समय बिताने का मौका भी ज्यादा मिलने लगा।",,
,,"शांति की नौकरी से न केवल आर्थिक स्थिति में सुधार हुआ, बल्कि उसने समाज में भी एक उदाहरण पेश किया कि महिलाएं भी पुरुषों की तरह काबिल और सक्षम होती हैं।",,
,,"गाँव के कई लोग जो पहले शांति और मोहन के फैसले को लेकर सवाल उठाते थे, अब उनकी तारीफ करने लगे।",,
,,कई महिलाओं ने भी शांति से प्रेरणा लेकर काम करना शुरू किया।,,
,,"गाँव में धीरे-धीरे यह सोच फैलने लगी कि अगर पत्नियाँ भी कामकाजी हों, तो न केवल परिवार की आर्थिक स्थिति सुधरती है, बल्कि समाज में महिलाओं का सम्मान और योगदान भी बढ़ता है।",,
Neha's first job,नेहा की पहली नौकरी,नेहा की पहली नौकरी,,
"Neha was a hardworking young woman. She had excelled in her management studies and landed a job at a large company. Her parents were proud of her, and Neha was very excited about her career. She was fully prepared to work in her new office and turn her dreams into reality.
In the first few weeks, Neha noticed that the office environment was a bit different. While there was camaraderie and cooperation among male colleagues, the atmosphere for female employees felt somewhat distant. Neha realized that whenever an important project came up, she was often overlooked, and the projects were handed to her male colleagues. She tried to ignore this discrimination, thinking it might just be her imagination, and decided to prove herself through hard work and dedication.
One day, a major project came to the company. Neha had worked hard for this project, and her suggestions were well-received. She thought this would be her opportunity to prove her capabilities. But when the project leader was announced, the project was given to a male colleague who had less experience than Neha.
Neha was deeply hurt. She wondered why she had worked so hard if her skills and efforts were going to be ignored like this. She spoke to her boss and asked, ""Why wasn’t I included in this project? I worked hard for it.""
Her boss casually replied, ""You’re very smart, Neha. But this project will require late-night work, which might be difficult for you. Besides, you’ll be getting married soon, right? How will you handle such responsibilities then?""
Neha was shocked by this response. She realized that her competence was being judged based on her gender, not on her hard work or abilities.
That day, Neha decided she wouldn’t tolerate this discrimination. She resolved to improve herself further, but she also realized that many other women were facing similar biases. She discussed the issue with her colleagues and initiated an equality campaign at the office to ensure women also had equal opportunities. Gradually, Neha’s efforts began to show results. Women were being given bigger projects, and their work started receiving the recognition it deserved.
 ","नेहा एक मेहनती युवती थी। उसने मैनेजमेंट की पढ़ाई में बेहतरीन प्रदर्शन किया था और एक बड़ी कंपनी में नौकरी पाई थी। उसके माता-पिता को उस पर गर्व था, और नेहा अपने करियर को लेकर बहुत उत्साहित थी। वह अपने नए ऑफिस में काम करने और अपने सपनों को साकार करने के लिए के लिए पूरी तरह तैयार थी। ""पहले कुछ हफ्तों में, नेहा ने देखा कि ऑफिस का माहौल थोड़ा अलग था। जहाँ पुरुष सहकर्मियों के बीच सहजता और सहयोग दिखाई देता था, वहीं महिला कर्मचारियों के लिए माहौल कुछ अलग सा था। नेहा ने महसूस किया कि जब भी कोई महत्वपूर्ण प्रोजेक्ट आता, तो उसे अक्सर नजरअंदाज किया जाता था और प्रोजेक्ट पुरुष सहकर्मियों को दे दिया जाता था। नेहा ने इस भेदभाव को नज़रअंदाज करने की कोशिश की, यह सोचकर कि शायद यह उसकी कल्पना मात्र है, और उसने अपनी मेहनत और लगन से खुद को साबित करने का फैसला किया।  एक दिन, कंपनी के पास एक बड़ा प्रोजेक्ट आया। नेहा ने इस प्रोजेक्ट के लिए बहुत मेहनत की थी और उसके सुझावों को काफी सराहा भी गया था। उसे लगा कि यह मौका उसके लिए अपनी काबिलियत साबित करने का है। लेकिन जब प्रोजेक्ट लीडर की घोषणा की गई, तो प्रोजेक्ट एक पुरुष सहकर्मी को दिया गया, जिसके पास नेहा से कम अनुभव था।
नेहा को बहुत दुख हुआ। उसने सोचा कि उसने इतनी मेहनत क्यों की, अगर उसकी काबिलियत और मेहनत को इस तरह से अनदेखा किया जा रहा है। उसने अपने बॉस से बात की और पूछा, """"""""मुझे इस प्रोजेक्ट में क्यों नहीं शामिल किया गया? मैंने इसके लिए कड़ी मेहनत की थी।  उसके बॉस ने बड़ी सहजता से जवाब दिया, """"नेहा, तुम बहुत होशियार हो। लेकिन इस प्रोजेक्ट के लिए देर रात तक काम करना पड़ेगा, और तुम्हारे लिए ये मुश्किल हो सकता है। और वैसे भी, तुम तो जल्दी ही शादी करोगी, फिर इतनी जिम्मेदारियाँ कैसे संभालोगी?""""
नेहा को यह जवाब सुनकर हैरानी हुई। उसने महसूस किया कि उसकी काबिलियत को उसके लिंग के आधार पर आँका जा रहा था, न कि उसकी मेहनत और योग्यता के आधार पर।  नेहा ने उस दिन तय किया कि वह इस भेदभाव को सहन नहीं करेगी। उसने खुद को और बेहतर साबित करने का निर्णय लिया, लेकिन साथ ही उसने यह भी महसूस किया कि उसके जैसी कई और महिलाएँ इस भेदभाव का सामना कर रही हैं। उसने अपने सहकर्मियों के साथ इस मुद्दे पर बात की और ऑफिस में एक समानता अभियान की शुरुआत की, जिससे महिलाओं को भी समान अवसर मिल सकें। धीरे-धीरे, नेहा की कोशिशों का असर दिखने लगा। ऑफिस में महिलाओं को भी बड़े प्रोजेक्ट्स दिए जाने लगे, और उनके काम को महत्व दिया जाने लगा।""",नेहा एक मेहनती युवती थी।,24,
,,उसने मैनेजमेंट की पढ़ाई में बेहतरीन प्रदर्शन किया था और एक बड़ी कंपनी में नौकरी पाई थी। ,,
,,वह अपने नए ऑफिस में काम करने और अपने सपनों को साकार करने के लिए के लिए पूरी तरह तैयार थी। ,,
,,"""पहले कुछ हफ्तों में, नेहा ने देखा कि ऑफिस का माहौल थोड़ा अलग था। ",,
,,"जहाँ पुरुष सहकर्मियों के बीच सहजता और सहयोग दिखाई देता था, वहीं महिला कर्मचारियों के लिए माहौल कुछ अलग सा था।",,
,,"नेहा ने महसूस किया कि जब भी कोई महत्वपूर्ण प्रोजेक्ट आता, तो उसे अक्सर नजरअंदाज किया जाता था और प्रोजेक्ट पुरुष सहकर्मियों को दे दिया जाता था।",,
,,"नेहा ने इस भेदभाव को नज़रअंदाज करने की कोशिश की, यह सोचकर कि शायद यह उसकी कल्पना मात्र है, और उसने अपनी मेहनत और लगन से खुद को साबित करने का फैसला किया।",,
,,"एक दिन, कंपनी के पास एक बड़ा प्रोजेक्ट आया।",,
,,नेहा ने इस प्रोजेक्ट के लिए बहुत मेहनत की थी और उसके सुझावों को काफी सराहा भी गया था।,,
,,उसे लगा कि यह मौका उसके लिए अपनी काबिलियत साबित करने का है। ,,
,,"लेकिन जब प्रोजेक्ट लीडर की घोषणा की गई, तो प्रोजेक्ट एक पुरुष सहकर्मी को दिया गया, जिसके पास नेहा से कम अनुभव था।",,
,,नेहा को बहुत दुख हुआ। ,,
,,"उसने सोचा कि उसने इतनी मेहनत क्यों की, अगर उसकी काबिलियत और मेहनत को इस तरह से अनदेखा किया जा रहा है। ",,
,,"उसने अपने बॉस से बात की और पूछा, ""मुझे इस प्रोजेक्ट में क्यों नहीं शामिल किया गया? मैंने इसके लिए कड़ी मेहनत की थी। """,,
,," उसके बॉस ने बड़ी सहजता से जवाब दिया, """"नेहा, तुम बहुत होशियार हो।",,
,,"लेकिन इस प्रोजेक्ट के लिए देर रात तक काम करना पड़ेगा, और तुम्हारे लिए ये मुश्किल हो सकता है। ",,
,,"और वैसे भी, तुम तो जल्दी ही शादी करोगी, फिर इतनी जिम्मेदारियाँ कैसे संभालोगी?""""",,
,,नेहा को यह जवाब सुनकर हैरानी हुई। ,,
,,"उसने महसूस किया कि उसकी काबिलियत को उसके लिंग के आधार पर आँका जा रहा था, न कि उसकी मेहनत और योग्यता के आधार पर। ",,
,,नेहा ने उस दिन तय किया कि वह इस भेदभाव को सहन नहीं करेगी।,,
,,"उसने खुद को और बेहतर साबित करने का निर्णय लिया, लेकिन साथ ही उसने यह भी महसूस किया कि उसके जैसी कई और महिलाएँ इस भेदभाव का सामना कर रही हैं।",,
,,"उसने अपने सहकर्मियों के साथ इस मुद्दे पर बात की और ऑफिस में एक समानता अभियान की शुरुआत की, जिससे महिलाओं को भी समान अवसर मिल सकें। ",,
,,"धीरे-धीरे, नेहा की कोशिशों का असर दिखने लगा। ",,
,,"ऑफिस में महिलाओं को भी बड़े प्रोजेक्ट्स दिए जाने लगे, और उनके काम को महत्व दिया जाने लगा।",,